,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
30,Kimpton Solamar Hotel,8.7, Excellent ,413,"Located adjacent to San Diego's vibrant Gaslamp Quarter, the modern Kimpton Solamar Hotel features a rooftop outdoor swimming pool and lounge. ",San Diego,Downtown San Diego,Kimpton,Hotel,4
31,DoubleTree by Hilton San Diego-Mission Valley,8.3, Very Good ,613,DoubleTree by Hilton San Diego-Mission Valley offers an indoor and an outdoor pool with a hot tub bordered by tropical palms. ,San Diego,Mission Valley,Hilton,Hotel,4
32,The Westin San Diego Gaslamp Quarter,8.6, Excellent ,357,"Adjacent to Westfield Horton Plaza shopping center, The Westin San Diego Gaslamp Quarter features an on-site bar and restaurant, spa services and a swimming pool. ",San Diego,Downtown San Diego,Westin,Hotel,4
33,Blue Sea Beach Hotel,8.3, Very Good ,419,"This San Diego hotel is located along the ocean and is 1 mile from Mission Bay Park. This beachfront hotel features an oceanfront pool, bike rentals and rooms with balconies. ",San Diego,Mission Beach,Local,Hotel,4
34,Andaz Napa - a concept by Hyatt,9.1, Awesome ,402,Hand-crafted cocktails are featured at the restaurant at Andaz Napa - a Concept by Hyatt. Napa Valley Opera House is 5 minutes’ walk away. ,Napa,Downtown Napa,Hyatt,Hotel,4
35,Hilton San Diego Gaslamp Quarter,8.4, Very Good ,475,"This hotel, 3 miles from San Diego International Airport, is within blocks of art galleries and shops. It features a restaurant, outdoor pool, and rooms with 42-inch flat-screen cable TVs. ",San Diego,Downtown San Diego,Hilton,Hotel,4
36,The Westin San Diego Gaslamp Quarter,8.6, Excellent ,357,"Adjacent to Westfield Horton Plaza shopping center, The Westin San Diego Gaslamp Quarter features an on-site bar and restaurant, spa services and a swimming pool. ",San Diego,Downtown San Diego,Westin,Hotel,4
37,San Diego Marriott Gaslamp Quarter,8.5, Very Good ,305,"This San Diego, California hotel is within walking distance of the San Diego Convention Center and PETCO Park. The hotel offers on-site dining at Soleil@k and Altitude Sky Lounge. ",San Diego,Downtown San Diego,Marriott,Hotel,4
38,"Hilton Garden Inn San Diego Downtown/Bayside, CA",8.4, Very Good ,590,"Boasting a rooftop pool and spa and a spacious fitness center, Hilton Garden Inn San Diego Downtown/Bayside, CA is conveniently located 1.9 mi away from San Diego International Airport. ",San Diego,Downtown San Diego,Hilton,Hotel,4
39,Hotel Indigo San Diego - Gaslamp Quarter,8.9, Excellent ,901,"Overlooking Petco Park and less than 1 mile from the San Diego Convention Center, this Gaslamp Quarter hotel features unique guest rooms with contemporary amenities and a restaurant on site. ",San Diego,Downtown San Diego,Indigo,Hotel,4
40,"Hotel Republic San Diego, Autograph Collection",8.8, Excellent ,156,"Located 11 minutes’ walk from Little Italy, Autograph Hotel Republic San Diego features a vibrant lounge, restaurant and contemporary art gallery. ",San Diego,Downtown San Diego,Autograph,Hotel,4
41,The Westin San Diego,8.5, Very Good ,644,"Located within 15 minutes' walk of Seaport Village and the San Diego Convention Center, this downtown hotel offers an on-site restaurant and a free shuttle service to/from San Diego International...",San Diego,Downtown San Diego,Westin,Hotel,4
42,The Westin San Jose,8.5, Very Good ,249,"Located downtown, San José State University is 10 minutes' walk from Westin San Jose. A gym, an authentic Italian restaurant and elegant rooms with free Wi-Fi are featured. ",San Francisco,Downtown San Jose,Westin,Hotel,4
43,The Opal,8.0, Very Good ,1629,"Just 1 mi from Union Square, The Opal offers spacious rooms with 40-inch LED TVs and free WiFi.  Facilities at this hotel include an on-site restaurant. ",San Francisco,Downtown San Francisco,Local,Hotel,4
44,LEVEL DTLA,9.1, Awesome ,436,"Located in the heart of Downtown Los Angeles, LEVEL Furnished Living features an outdoor pool, a basketball court and weekly housekeeping. Each self-catering suite features free WiFi. ",Los Angeles,Downtown LA,Local,Hotel,4
45,Hotel Zephyr San Francisco,8.1, Very Good ,3959,"Offering a fitness center, Hotel Zephyr San Francisco is located a short 984 feet from Pier 39 Fisherman's Wharf. Free WiFi access is available in this waterfront hotel. ",San Francisco,Fisherman's Wharf,Local,Hotel,4
46,Crowne Plaza Los Angeles International Airport,8.1, Very Good ,4469,"Located just 1312 feet from Los Angeles International Airport with free 24-hour airport shuttles, this hotel offers easy access to the city center. ",Los Angeles,LAX Area,Crowne Plaza,Hotel,4
47,San Diego Marriott Del Mar,8.2, Very Good ,89,"Located off Interstate 5, this San Diego hotel features an on-site gourmet restaurant and rooms with Wi-Fi access and a flat-screen cable TV.  Torrey Pines Golf Course is just a 10-minute drive away. ",San Diego,Carmel Valley,Marriott,Hotel,4
48,Sheraton Fisherman's Wharf Hotel,7.9, Good ,3021,"Located within 10 minutes’ walk from Pier 39, the family-friendly Sheraton Fisherman's Wharf Hotel features an outdoor pool. Guests can dine in or get light bites to go at Link@Sheraton Cafe. ",San Francisco,Fisherman's Wharf,Sheraton,Hotel,4
49,USC Hotel,8.4, Very Good ,1456,Located 3 minutes’ walk from USC campus this hotel offers easy access to campus events. It features an outdoor pool and hot tub and rooms with free WiFi. A restaurant and bar are located on-site. ,Los Angeles,South Los Angeles,Local,Hotel,4
50,Kimpton Everly Hotel,9.0, Awesome ,626,"Set in Los Angeles in Hollywood, a 2 minute walk from the Capitol Records Building, Kimpton Everly Hotel features a year-round outdoor pool. ",Los Angeles,Hollywood,Kimpton,Hotel,4
51,Portola Hotel & Spa,8.6, Excellent ,2272,"Within 5 minutes' walk of Fisherman's Wharf, the Portola Hotel & Spa is 1 mi from the historic Cannery Row. It offers an outdoor pool, three on-site restaurants, and a microbrewery. ",Monterey,Downtown Monterey,Local,Hotel,4
52,Hyatt Regency Los Angeles International Airport,8.6, Excellent ,4245,"Offering a free 24-hour transfer service to LAX, Hyatt Regency Los Angeles International Airport features spacious rooms with mid-century modern design and free WiFi. ",Los Angeles,LAX Area,Hyatt,Hotel,4
53,The Orlando Hotel,8.6, Excellent ,721,"This pet-friendly Los Angeles hotel is 5 minutes' walk to the Beverly Center shopping area. The boutique hotel offers an outdoor saltwater pool, a full-service spa and a restaurant. ",Los Angeles,Beverly Hills,Local,Hotel,4
54,Hilton San Francisco Financial District,7.6, Good ,1065,"Located in downtown San Francisco, located on the crossroads of the Financial District, Chinatown, and North Beach, Hilton San Francisco Financial District is conveniently located on the crossroads of...",San Francisco,Financial District,Hilton,Hotel,4
55,Hyatt Centric Fisherman's Wharf San Francisco,8.1, Very Good ,1061,"Just 3 minutes’ walk from Fisherman's Wharf, the Hyatt features an on-site restaurant and lounge. A heated outdoor pool and hot tub are offered. Free WiFi and a 47” HDTV are featured in all rooms. ",San Francisco,Fisherman's Wharf,Hyatt,Hotel,4
56,Hyatt Regency Orange County,8.7, Excellent ,1578,"Featuring 2 outdoor swimming pools and a restaurant on site, this hotel is located 1.5 miles from Disneyland. It has ticket services for Disneyland and shuttle services to the park. ",Los Angeles,Garden Grove,Hyatt,Hotel,4
57,SIXTY Beverly Hills,8.1, Very Good ,708,"Located in downtown Beverly Hills, California this 4-star hotel features a gourmet restaurant and outdoor rooftop pool and lounge with panoramic city views. Each modern room features a 55-inch LCD TV....",Los Angeles,Beverly Hills,Local,Hotel,4
58,San Francisco Marriott Marquis Union Square,8.4, Very Good ,2605,"Located next to the the Moscone Convention Center, this downtown San Francisco hotel offers luxurious rooms equipped with flat-screen TVs. Facilities include a fitness center. ",San Francisco,Union Square,Marriott,Hotel,4
59,The Hollywood Roosevelt,8.3, Very Good ,2127,"Located 1 minutes' walk from Grauman’s Chinese Theatre, this Los Angeles, California hotel features modern rooms. ",Los Angeles,Hollywood,Local,Hotel,4
60,Grand Hyatt San Francisco Union Square,8.6, Excellent ,3037,This San Francisco hotel in Union Square is just steps from Chinatown.  On-site dining and a 24-hour gym are available for guest convenience. ,San Francisco,Union Square,Hyatt,Hotel,4
61,The Clift Royal Sonesta Hotel,8.1, Very Good ,1704,"Centrally located just 5 minutes' walk from San Francisco’s buzzy Union Square, Clift San Francisco features rooms designed by Philippe Starck. ",San Francisco,Union Square,Sonesta,Hotel,4
62,Sheraton Gateway Los Angeles,8.2, Very Good ,5967,"This modern hotel provides free 24-hour dedicated shuttle service to Los Angeles International Airport, just a 3-minute drive away. Guests can relax in the outdoor heated pool. ",Los Angeles,LAX Area,Sheraton,Hotel,4
63,Hilton Los Angeles-Universal City,8.5, Very Good ,2249,"Located 5 minutes’ walk from the Universal Studios Hollywood entrance, this hotel offers a multi-lingual staff and contemporary rooms. Guests can unwind in the outdoor pool and hot tub. ",Los Angeles,Universal City,Hilton,Hotel,4
64,Hilton San Francisco Union Square,7.9, Good ,4842,"Located in the heart of downtown San Francisco and just 5 minutes' walk from the Powell Street subway station, this Hilton features an on-site Herb n´ Kitchen and a beautiful courtyard pool. ",San Francisco,Union Square,Hilton,Hotel,4
65,Omni San Francisco,9.0, Awesome ,863,"Centrally located at the intersection of California Street and Montgomery Street, Omni San Francisco features a restaurant and elegant rooms. ",San Francisco,Financial District,Omni,Hotel,4
66,Club Quarters Hotel in San Francisco,8.3, Very Good ,1796,"Located in the heart of San Francisco's business and financial district, Club Quarters Hotel in San Francisco features comfortable accommodations in a private club-like atmosphere. ",San Francisco,Financial District,Club Quarters,Hotel,4
67,Millennium Biltmore Los Angeles,8.2, Very Good ,1534,"Located in downtown Los Angeles, this luxurious design hotel is just a 4-minute walk from Pershing Square Subway Station. ",Los Angeles,Downtown LA,Local,Hotel,4
68,Hyatt Regency San Francisco,8.6, Excellent ,2003,"Located within 5 minutes’ walk of Ferry Building shops and ferries to Alcatraz, this luxury San Francisco hotel features guest rooms with stunning views of the San Francisco Bay and the Financial...",San Francisco,Financial District,Hyatt,Hotel,4
69,Monterey Plaza Hotel & Spa,9.2, Awesome ,1373,"Offering stunning views of Monterey Bay, a full-service spa and a private beach, the Monterey Plaza Hotel & Spa is located only steps from Cannery Row and 10 minutes' walk from the Monterey Bay...",Monterey,Cannery Row,Local,Hotel,4
70,Hilton Los Angeles Airport,7.8, Good ,4792,"Offering free 24-hour shuttle service to Los Angeles International Airport, this hotel features a spacious outdoor pool and whirlpool. Car hire service and 4 food venues are available at the hotel. ",Los Angeles,LAX Area,Hilton,Hotel,4
71,Loews Hollywood Hotel,8.6, Excellent ,1344,"Featuring a rooftop pool and a sun terrace, this Hollywood hotel is adjacent to Dolby Theater and TCL Chinese Theater. All luxurious rooms are equipped with iPod docking stations. ",Los Angeles,Hollywood,Loews,Hotel,4
72,Axiom Hotel,8.6, Excellent ,1816,"Fiber optic free WiFi, sensor locks and online check-in make staying at the Axiom Hotel a technology forward experience. Lounge areas in the on-site bar are featured. ",San Francisco,Union Square,Local,Hotel,4
73,The Donatello Hotel,8.8, Excellent ,864,"Offering Italian-inspired design, this centrally located San Francisco hotel is just 3 minutes’ walk from the popular sights of Union Square. ",San Francisco,Union Square,Local,Hotel,4
74,Luxe City Center Hotel,8.3, Very Good ,1212,"This central Los Angeles boutique hotel is located across from the Microsoft Theater, Staples Center and Conga Room at the LA Live Entertainment Center. ",Los Angeles,Downtown LA,Local,Hotel,4
75,BLVD Hotel & Spa - Walking Distance to Universal Studios Hollywood,8.2, Very Good ,1085,"Just 10 minutes’ walk away from Universal Studios Hollywood, this design hotel features an indoor pool. Rooms offer 42-inch flat-screen cable TVs and mountain or garden views. ",Los Angeles,Universal City,Local,Hotel,4
76,Americania Hotel,7.3, Good ,715,"Located in San Francisco’s SoMa district, renowned for its museums, shops and gourmet restaurants, Americania Hotel blends retro-style furnishings with state-of-the-art amenities and services. ",San Francisco,Downtown San Francisco,Local,Hotel,4
77,Sheraton Universal,7.7, Good ,1074,The Sheraton Universal Hotel is ideally positioned in the heart of Universal City just moments away from many area attractions. Guests can enjoy a swim in the outdoor pool. ,Los Angeles,Universal City,Sheraton,Hotel,4
78,Hotel Sofitel Los Angeles at Beverly Hills,8.2, Very Good ,1118,"Located 3.1 mi from Rodeo Drive, Hotel Sofitel Los Angeles at Beverly Hills features a luxury spa, a gourmet French restaurant, a heated outdoor pool, and elegant rooms with free WiFi and spacious...",Los Angeles,Beverly Hills,Sofitel,Hotel,4
79,Cambria Hotel LAX,8.9, Excellent ,1012,"Cambria Hotel LAX is located in El Segundo, 12 mi from Los Angeles and 9.3 mi from Santa Monica. Rooms are equipped with a flat-screen TV. Some units feature a seating area where you can relax. ",Los Angeles,LAX Area,Local,Hotel,4
80,El Royale Hotel - Near Universal Studios Hollywood,9.2, Awesome ,1387,"El Royale Hotel - Near Universal Studios Hollywood is set in the Studio City district in Los Angeles, 3.1 mi from Hollywood Bowl. ",Los Angeles,Studio City,Local,Hotel,4
81,Hotel Nikko San Francisco,8.8, Excellent ,3045,"Just 5 minutes' walk from vibrant Union Square, the recently restored Hotel Nikko San Francisco offers a modern, Asian-inspired aesthetic and features an indoor pool with a glass atrium and an on-site...",San Francisco,Union Square,Local,Hotel,4
82,Los Angeles Airport Marriott,8.3, Very Good ,2151,"Boasting a resort pool, this Los Angeles, California hotel offers several upscale dining options. The hotel offers a free airport shuttle to Los Angeles International Airport, which is 1.5 mi away. ",Los Angeles,LAX Area,Marriott,Hotel,4
83,The Westin Los Angeles Airport,8.3, Very Good ,1753,"Boasting an outdoor pool, this hotel offers a free transfer service to Los Angeles International Airport, 1 mi away. A restaurant is located on-site and guests have access to a fitness center. ",Los Angeles,LAX Area,Westin,Hotel,4
84,The Beverly Hilton,7.9, Good ,537,"This elegant Beverly Hills hotel features an outdoor pool with a movie screen and on-site dining. Located a 10-minute drive from Los Angeles Country Club, its rooms offer a flat-screen TV. ",Los Angeles,Beverly Hills,Hilton,Hotel,4
85,Beverly Hills Plaza Hotel,8.5, Very Good ,738,"Located in Los Angeles, this boutique hotel is on Wilshire Boulevard, 5 minutes' drive from the University of California. The hotel features European décor, an outdoor pool and a full-service spa. ",Los Angeles,Westwood,Local,Hotel,4
86,Mondrian Los Angeles in West Hollywood,7.6, Good ,735,"Located in the heart of the Sunset Strip, this West Hollywood hotel offers unique rooms with floor-to-ceiling windows. ",Los Angeles,West Hollywood,Local,Hotel,4
87,"The Marker San Francisco, a Joie de Vivre Hotel",8.3, Very Good ,701,"Offering French-inspired architecture, The Marker San Francisco, a Joie de Viver Hotel provides guests with an ideal city center location just 7 minutes' walk to Union Square. ",San Francisco,Union Square,Joie De Vivre,Hotel,4
88,Club Donatello,8.8, Excellent ,573,"Centrally located in downtown San Francisco, this luxury 4-star hotel is one block from Union Square. It offers an Italian restaurant and rooftop lounge, a sauna, and spacious rooms with free WiFi. ",San Francisco,Union Square,Local,Hotel,4
89,Hotel Zetta San Francisco,8.6, Excellent ,653,"Across the street from Westfield Shopping Center, this Central San Francisco hotel offers rooms with a 46-inch flat-screen smart TV. Food options are offered in the full-service bar and lounge area. ",San Francisco,Union Square,Local,Hotel,4
90,InterContinental - Los Angeles Downtown,8.9, Excellent ,1246,"Boasting an outdoor pool, InterContinental - Los Angeles Downtown is located in the Downtown Los Angeles district of Los Angeles. The property has an on-site restaurant and free WiFi throughout. ",Los Angeles,Downtown LA,Intercontinental,Hotel,4
91,"Hotel Vitale, a Joie de Vivre Hotel",8.3, Very Good ,810,"Overlooking San Francisco’s Embarcadero waterfront, this hotel features an outdoor rooftop terrace, a spa and a restaurant. Free WiFi is provided in all guest rooms. AT&T Park is 1 mile away. ",San Francisco,Downtown San Francisco,Joie De Vivre,Hotel,4
92,Dream Hollywood,8.5, Very Good ,555,"Offering a rooftop pool and sun terrace, Dream Hollywood is located in Los Angeles in the foreground of the Hollywood sign. ",Los Angeles,Hollywood,Local,Hotel,4
93,The LINE Hotel,8.1, Very Good ,1309,"Located in a mid-century building less than 4 miles from Hollywood, the LINE Koreatown boutique hotel features free WiFi, an outdoor pool, a furnished sun terrace and three restaurants. ",Los Angeles,Koreatown,Local,Hotel,4
94,Petit Ermitage,8.6, Excellent ,498,"Featuring a private rooftop with stunning views of Los Angeles, a saltwater pool and comfortable indoor/outdoor seating, this elegant 4-star hotel is 1 mile from the Sunset Strip. ",Los Angeles,West Hollywood,Local,Hotel,4
95,"Staypineapple, An Elegant Hotel, Union Square",8.7, Excellent ,968,Staypineapple is a historic 1913 hotel located just 5 minutes' walk from vibrant Union Square. It offers a coffee and cupcake reception at check-in and free WiFi in all rooms. ,San Francisco,Union Square,Elegant,Hotel,4
96,Viceroy Santa Monica,8.3, Very Good ,789,"Just 16 mi from Los Angeles, Viceroy Santa Monica is one block from the ocean and blocks from the pier, and features 2 outdoor pools with cabanas. ",Los Angeles,Santa Monica,Viceroy,Hotel,4
97,AKA Beverly Hills,9.0, Awesome ,25,This boutique Beverly Hills hotel features suites with panoramic views of the Hollywood Hills. All suites have fully equipped kitchens where guests can cook a gourmet meal. Hollywood is 2 miles away. ,Los Angeles,Beverly Hills,Local,Hotel,4
98,"The Standard, Downtown LA",7.8, Good ,748,"Located in downtown Los Angeles, this unique and minimalistic hotel is 4 blocks from the Walt Disney Concert Hall. It features a rooftop pool and rooms with an iPod docking station. ",Los Angeles,Downtown LA,Local,Hotel,4
99,Andaz West Hollywood-a concept by Hyatt,8.9, Excellent ,816,"Just 5 minutes’ walk from the Sunset Strip, the Andaz West Hollywood - a Concept by Hyatt features onsite dining and a rooftop pool. ",Los Angeles,Hollywood,Hyatt,Hotel,4
100,Plaza la Reina,9.1, Awesome ,419,"Plaza La Reina is located in Westwood Village, close to Beverly Hills and Santa Monica. This hotel offers guest rooms with free WiFi and valet parking. The Getty Center is 3.1 mi away. ",Los Angeles,Westwood,Local,Hotel,4
101,Orchard Hotel,8.7, Excellent ,1032,"Located in Downtown San Francisco, this boutique hotel is just 2 blocks from Union Square. It features an on-site restaurant, a cardio room, and spacious rooms with free WiFi. ",San Francisco,Union Square,Local,Hotel,4
102,"Galleria Park, a Joie de Vivre Hotel",8.5, Very Good ,615,"This hotel is centrally located in San Francisco's lively Union Square, which features shopping, dining and entertainment options. ",San Francisco,Financial District,Joie De Vivre,Hotel,4
103,Hilton Parc 55 San Francisco Union Square,8.0, Very Good ,2671,"This downtown San Francisco hotel is a 6 minute walk from Union Square and the Hallidie Plaza, which features a cable car stop. The hotel offers massage services and a tour desk. ",San Francisco,Union Square,Hilton,Hotel,4
104,W San Francisco,8.1, Very Good ,428,"The W is a fixture of San Francisco’s hip SOMA district, amid art exhibitions, film screenings, fashion shows, clubs and concerts. A spa, restaurant and gym are located on-site at the property. ",San Francisco,Downtown San Francisco,W,Hotel,4
105,Warwick San Francisco,8.2, Very Good ,1122,"Just 5 minutes’ walk to Union Square Park, this luxurious hotel blends San Francisco Victorian décor with modern amenities like free WiFi in all rooms. A European bar, lounge and restaurant are...",San Francisco,Union Square,Local,Hotel,4
106,Warwick San Francisco,8.2, Very Good ,1122,"Just 5 minutes’ walk to Union Square Park, this luxurious hotel blends San Francisco Victorian décor with modern amenities like free WiFi in all rooms. A European bar, lounge and restaurant are...",San Francisco,Union Square,Local,Hotel,4
107,InterContinental Mark Hopkins San Francisco,8.4, Very Good ,1057,This towering historic landmark on Nob Hill features a top-floor restaurant with beautiful views of San Francisco and the Golden Gate Bridge. Cable car stops are just outside the hotel. ,San Francisco,Nob Hill,Intercontinental,Hotel,4
108,Ace Hotel Downtown Los Angeles,8.2, Very Good ,884,"Located in the historic United Artists Building in the heart of the Los Angeles city center, this LA hotel offers guest rooms with flat-screen TVs and free Wi-Fi. ",Los Angeles,Downtown LA,Local,Hotel,4
109,JW Marriott Los Angeles L.A. LIVE,8.8, Excellent ,647,"Located less than 1 mi from the Staples Center and Nokia Theater, JW Marriott Los Angeles L.A. Live offers luxurious rooms with a 42-inch flat-screen TV and Wi-Fi access. ",Los Angeles,Downtown LA,Marriott,Hotel,4
110,"Hotel Kabuki, a Joie de Vivre Hotel",8.5, Very Good ,931,"Located in San Francisco’s Japantown, this elegant hotel is connected to the Nihonmachi Mall and blends Eastern and Western design. It features on-site dining and an indoor garden with a fishpond. ",San Francisco,Japantown,Joie De Vivre,Hotel,4
111,Hotel Indigo - Los Angeles Downtown,8.6, Excellent ,1198,"Located in Los Angeles, within a 10-minute walk of L.A. Live and 0.6 miles of Microsoft Theater, Hotel Indigo - Los Angeles Downtown has accommodations with an outdoor swimming pool and free WiFi. ",Los Angeles,Downtown LA,Indigo,Hotel,4
112,Luxe Rodeo Drive Hotel,8.3, Very Good ,698,This luxury boutique hotel is located on the famous Rodeo Drive in the center of Beverly Hills Village. It features Valentino and Michael Kors shops on site. Guests can also enjoy the on-site spa. ,Los Angeles,Beverly Hills,Local,Hotel,4
